                 Model              Dataset  Target     Accuracy   F1   Recall Precision
           CLIP-ViT-B/16 (cont.)      k78k  continent    0.9097  0.9096  0.9096   0.9100
           CLIP-ViT-B/16 (cont.)      k78k    country    0.5019  0.1315  0.1702   0.1938
           CLIP-ViT-B/16 (cont.)    im2gps  continent    0.7215  0.6338  0.6867   0.6159
           CLIP-ViT-B/16 (cont.)    im2gps    country    0.5021  0.3481  0.4217   0.3333
           CLIP-ViT-B/16 (cont.)  im2gps2k  continent    0.6105  0.5017  0.5242   0.5098
           CLIP-ViT-B/16 (cont.)  im2gps2k    country    0.3055  0.1173  0.1796   0.1298
           CLIP-ViT-B/16 (cont.)  im2gps3k  continent    0.6563  0.5187  0.5932   0.5097
           CLIP-ViT-B/16 (cont.)  im2gps3k    country    0.3530  0.1694  0.2658   0.1894
           CLIP-ViT-B/16 (cont.)    yfcc4k  continent    0.6133  0.4177  0.4509   0.4115
           CLIP-ViT-B/16 (cont.)    yfcc4k    country    0.2848  0.1099  0.1897   0.1197
           CLIP-ViT-B/16 (comb.)      k78k  continent    0.8058  0.8004  0.8058   0.8116
           CLIP-ViT-B/16 (comb.)      k78k    country    0.6835  0.3769  0.4824   0.3857
           CLIP-ViT-B/16 (comb.)    im2gps  continent    0.7173  0.6310  0.7130   0.6567
           CLIP-ViT-B/16 (comb.)    im2gps    country    0.5696  0.3632  0.4543   0.3562
           CLIP-ViT-B/16 (comb.)  im2gps2k  continent    0.5865  0.5051  0.5694   0.5425
           CLIP-ViT-B/16 (comb.)  im2gps2k    country    0.3225  0.1438  0.2149   0.1483
           CLIP-ViT-B/16 (comb.)  im2gps3k  continent    0.6373  0.4943  0.6182   0.5359
           CLIP-ViT-B/16 (comb.)  im2gps3k    country    0.4064  0.2046  0.2850   0.2258
           CLIP-ViT-B/16 (comb.)    yfcc4k  continent    0.5763  0.4002  0.4836   0.4056
           CLIP-ViT-B/16 (comb.)    yfcc4k    country    0.3234  0.1379  0.2454   0.1379
    CLIP-ViT-B/16 (cont.) + a.d.      k78k  continent    0.9184  0.9182  0.9183   0.9183
    CLIP-ViT-B/16 (cont.) + a.d.      k78k    country    0.5308  0.1135  0.1456   0.1467
    CLIP-ViT-B/16 (cont.) + a.d.    im2gps  continent    0.7468  0.6874  0.7336   0.6632
    CLIP-ViT-B/16 (cont.) + a.d.    im2gps    country    0.4557  0.2464  0.3015   0.2619
    CLIP-ViT-B/16 (cont.) + a.d.  im2gps2k  continent    0.6245  0.5162  0.5468   0.5100
    CLIP-ViT-B/16 (cont.) + a.d.  im2gps2k    country    0.3255  0.0702  0.1051   0.0763
